"Reference","Qty","Value","MANUFACTURER","MANUFACTURER_PART_NUMBER","설명","Package","Type"
"BT1","1","Battery","CAX","1.25T-2A","1x2P 2P 1 1.25mm 2 -25℃~+85℃ 1A Straight Plugin,P=1.25mm  Wire To Board / Wire To Wire Connector ROHS","2POS","Through Hole "
"C1,C2,C8,C10,C14,C23,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37","18","1uF","Murata Electronics","GRM155R61A105KE15D","10V 1uF X5R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","0402 (1005 Metric)","Surface Mount "
"C3,C5","2","4.7uF","Murata Electronics","GRM155R61A475MEAAD","10V 4.7uF X5R ±20% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","0402 (1005 Metric)","Surface Mount "
"C4,C6,C7,C16,C22,C25","6","100nF","Murata Electronics","GRM155R71C104KA88D","16V 100nF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","0402 (1005 Metric)","Surface Mount "
"C9","1","2.2uF","Murata Electronics","GRM155Z71A225KE01D","10V 2.2uF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","0402 (1005 Metric)","Surface Mount "
"C11,C12,C13,C15,C17,C18,C19,C21","8","10uF","Murata Electronics","GRM155R61A106ME44D","10V 10uF X5R ±20% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","0402 (1005 Metric)","Surface Mount "
"C20,C38,C39,C40,C41,C42,C43","7","1nF","Murata Electronics","GRM155R71H102KA01D","50V 1nF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","0402 (1005 Metric)","Surface Mount "
"C24","1","100uF","Murata Electronics","GRM21BR60J107ME15L","6.3V 100uF X5R ±20% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS ","0805 (2012 Metric)","Surface Mount "
"D1","1","LED_Y","Everlight Elec","19-213/Y2C-CQ2R2L/3T(CY)","20mA -40℃~+85℃ 585.5nm~591.5nm Yellow 120° 60mW 0603  Light Emitting Diodes (LED) ROHS","0603 (1608 Metric)","Surface Mount "
"D2","1","PRTR5V0U2X","Nexperia","PRTR5V0U2X,215","6V Unidirectional 5.5V SOT-143 Electrostatic and Surge Protection (TVS/ESD)"," SOT-143","Surface Mount "
"IC1","1","NPM1300","NORDIC SEMICONDUCTOR","nPM1300-QEAA-R","Battery Management Power Management IC (PMIC) with unique system management features, QFN32","QFN-32","Surface Mount "
"IC2","1","LM2664M6X_NOPB","Texas Instruments ","LM2664M6X/NOPB ","Switching Voltage Regulators Switched Capacitor Vtg Cnvtr","SOT-23-6","Surface Mount "
"IC3","1","ADS1299-4PAGR","Texas Instruments ","ADS1299-4PAGR","Analog to Digital Converters - ADC Low-Noise, 4-Channel, 24-Bit Analog-to-Digital Converter for Biopotential Measurements","TQFP-64","Surface Mount "
"J1","1","Conn_01x03","CAX","1.25T-3A","1x3P 3P 1 1.25mm 3 -25℃~+85℃ 1A Straight Plugin,P=1.25mm  Wire To Board / Wire To Wire Connector ROHS","3POS","Through Hole "
"J2","1","Conn_01x04","CAX","1.25T-4A","1x4P 4P 1 1.25mm 4 -25℃~+85℃ 1A Straight Plugin,P=1.25mm  Wire To Board / Wire To Wire Connector ROHS","4POS","Through Hole "
"J3","1","USB-C Connectors","Korean Hroparts Elec","TYPE-C-31-M-12","5A 1 16P Female Type-C SMD USB Connectors ROHS ","SMD","Surface Mount "
"J4","1","Conn_01x06","CAX","1.25T-6A","1x6P 6P 1 1.25mm 6 -25℃~+85℃ 1A Straight Plugin,P=1.25mm  Wire To Board / Wire To Wire Connector ROHS","6POS","Through Hole "
"L1,L2","2","2.2uH","TDK Corporation","MLP2016H2R2MT0S1","SMD / SMT Inductors (Coils), L=2.2?H, L x W x T :","0806 (2016 Metric)","Surface Mount "
"R1","1","2.2","YAGEO","RC0402FR-072R2L","62.5mW Thick Film Resistors 50V ±1% ±200ppm/℃ 2.2Ω 0402  Chip Resistor - Surface Mount ROHS","0402 (1005 Metric)","Surface Mount "
"R2,R3","2","150k","YAGEO","RC0402FR-07150KL","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 150kΩ 0402  Chip Resistor - Surface Mount ROHS","0402 (1005 Metric)","Surface Mount "
"R4","1","1M","YAGEO","RC0402FR-071ML","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 1MΩ 0402  Chip Resistor - Surface Mount ROHS","0402 (1005 Metric)","Surface Mount "
"R5,R6,R7,R8,R9,R10","6","2.2k","YAGEO","RC0402FR-071ML","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 1MΩ 0402  Chip Resistor - Surface Mount ROHS","0402 (1005 Metric)","Surface Mount "
"SW1","1","SW_SPDT","SHOUHAN","SK12D07VG5 ","500mA SPDT 50V 5千次 Plugin Slide Switches ROHS ","5POS","Through Hole "
"U1","1","NRF5340","InsightSIP","ISP2053-AX-RS","Bluetooth Modules - 802.15.1 ISP2053-AX nRF5340 Bluetooth 5.2 LE Audio, DF and Long Range Module","LGA-65","Surface Mount "
"U2","1","BMI270","Bosch Sensortec","BMI270","Attitude Sensor/Gyroscope","LGA-14","Surface Mount "
"U3,U4,U5","3","TPD4E1B06DRLR","Texas Instruments ","TPD4E1B06DRLR","3A@(8/20us) 45W 14.5V 7V 5.5V SOT(5x3)  Electrostatic and Surge Protection (TVS/ESD)","SOT-5X3","Surface Mount "
